course,stop_code,stop_id,stop_name,route_short_name,trip_headsign,direction,departure_time,is_theorical
268436772,ALPILLEA,11115,ALPILLES,10,AIGUELONGUE,1,18:43:02,1
268436639,ALPILLEA,11115,ALPILLES,10,AIGUELONGUE,1,19:21:02,1
268436774,ALPILLEA,11115,ALPILLES,10,AIGUELONGUE,1,20:26:02,1
268436742,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,07:09:00,1
268436754,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,07:44:00,1
268436744,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,08:25:00,1
268436756,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,09:05:00,1
268436746,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,09:45:00,1
268436758,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,10:26:00,1
268436748,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,11:06:00,1
268436760,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,11:45:00,1
268436750,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,12:26:00,1
268436762,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,13:05:00,1
268436777,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,13:46:00,1
268436766,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,14:26:00,1
268436779,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,15:06:00,1
268436768,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,15:46:00,1
268436781,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,16:26:00,1
268436770,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,17:06:00,1
268436637,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,17:47:00,1
268436772,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,18:27:00,1
268436639,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,19:06:00,1
268436774,AVAGRICE,9117,AV. AGRICULTURE,10,AIGUELONGUE,1,20:10:00,1
268436742,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,07:04:22,1
268436754,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,07:39:22,1
268436744,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,08:20:22,1
268436756,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,09:00:22,1
268436746,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,09:40:22,1
268436758,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,10:21:09,1
268436748,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,11:01:09,1
268436760,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,11:40:22,1
268436750,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,12:21:22,1
268436762,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,13:00:22,1
268436777,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,13:41:09,1
268436766,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,14:21:09,1
268436779,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,15:01:09,1
268436768,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,15:41:09,1
268436781,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,16:21:09,1
268436770,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,17:01:09,1
268436637,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,17:42:09,1
268436772,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,18:22:09,1
268436639,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,19:01:22,1
268436774,BELVEDEE,9109,BELVEDERE,10,AIGUELONGUE,1,20:05:22,1
268436742,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,07:00:00,1
268436754,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,07:35:00,1
268436744,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,08:15:00,1
268436756,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,08:55:00,1
268436746,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,09:35:00,1
268436758,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,10:15:00,1
268436748,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,10:55:00,1
268436760,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,11:35:00,1
268436750,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,12:15:00,1
268436762,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,12:55:00,1
268436777,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,13:35:00,1
268436766,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,14:15:00,1
268436779,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,14:55:00,1
268436768,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,15:35:00,1
268436781,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,16:15:00,1
268436770,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,16:55:00,1
268436637,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,17:35:00,1
268436772,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,18:15:00,1
268436639,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,18:55:00,1
268436774,CELLENEE,10201,CELLENEUVE,10,AIGUELONGUE,1,20:00:00,1
268436742,CHANTECA,11116,CHANTECLER,10,AIGUELONGUE,1,07:23:49,1
