longitude;latitude;d_inter;annee_inter;type_inter;type_support;rue;code_commune;equipement_concerne
3.94236708322117;43.5672458498515;18/02/2013 00:00;2013;Fuite;Branchement;R DES AIGUES MARINES;34198;Branchement
3.90185764652627;43.567445810226;18/02/2013 00:00;2013;Fuite;Branchement;AV DE MONTPELLIER;34129;Branchement
3.9170276122156;43.5665061020974;18/02/2013 00:00;2013;Fuite;Canalisation;R DES MICOCOULIERS;34129;Canalisation
3.94000867205676;43.5663538245897;12/02/2013 00:00;2013;Fuite;Branchement;R DU CORAIL;34198;Branchement
3.96050433846473;43.5591515279289;11/02/2013 00:00;2013;Fuite;Branchement;R DU RADEL;34198;Branchement
3.94593376165539;43.568538414577;08/02/2013 00:00;2013;Fuite;Branchement;AV DE MONTPELLIER;34198;Branchement
3.95728482920057;43.5599962272107;05/02/2013 00:00;2013;Fuite;Canalisation;R MARCEL PAGNOL;34198;Canalisation
3.94676523473842;43.5659697702588;05/02/2013 00:00;2013;Fuite;Branchement;R BLAISE PASCAL;34198;Branchement
3.90489602252522;43.5697931157517;31/01/2013 00:00;2013;Fuite;Branchement;AV DE PEROLS;34129;Branchement
3.93838598411734;43.5694362367686;31/01/2013 00:00;2013;Fuite;Branchement;CHE DE LA GARRIGUE;34198;Branchement
3.93865233239787;43.5697560381871;30/01/2013 00:00;2013;Fuite;Branchement;CHE DE LA GARRIGUE;34198;Branchement
3.9499834983347;43.5695575020481;30/01/2013 00:00;2013;Fuite;Branchement;AV LOUIS PASTEUR;34198;Branchement
3.94997729933168;43.5695504821167;30/01/2013 00:00;2013;Fuite;Branchement;AV LOUIS PASTEUR;34198;Branchement
3.94414843124577;43.5680497934124;30/01/2013 00:00;2013;Fuite;Branchement;R DES HIRONDELLES;34198;Branchement
3.90310317869066;43.5776242822109;29/01/2013 00:00;2013;Fuite;Branchement;R MINOS;34129;Branchement
3.94975934708961;43.5696183098347;29/01/2013 00:00;2013;Fuite;Canalisation;AV LOUIS PASTEUR;34198;Canalisation
3.93990848773668;43.5657473631824;16/01/2013 00:00;2013;Fuite;Branchement;R DU CORAIL;34198;Branchement
3.91467286750976;43.5702060463629;15/01/2013 00:00;2013;Fuite;Canalisation;R DES FRENES;34129;Canalisation
3.91273459661129;43.5724275499057;06/01/2013 00:00;2013;Fuite;Branchement;AV BERLIOZ;34129;Branchement
3.95507385136474;43.5623550384626;05/01/2013 00:00;2013;Fuite;Branchement;R MARIE MARTIN;34198;Branchement
3.9493598705583;43.5661005830213;04/01/2013 00:00;2013;Fuite;Branchement;R MARCEL PAGNOL;34198;Branchement
3.90799941211533;43.5722204005765;03/01/2013 00:00;2013;Fuite;Branchement;R RICHARD WAGNER;34129;Branchement
3.91948218386672;43.5867036389911;03/01/2013 00:00;2013;Fuite;Canalisation;AV DES PLATANES;34129;Canalisation
3.91964526537616;43.5868404850469;03/01/2013 00:00;2013;Fuite;Canalisation;CHE DU MAS ROUGE;34129;Canalisation
3.95461476021651;43.5627253131483;02/01/2013 00:00;2013;Fuite;Branchement;R THIERS;34198;Branchement
3.94659965088988;43.5657629869994;31/12/2012 00:00;2012;Fuite;Canalisation;R BLAISE PASCAL;34198;Canalisation
3.90310134051362;43.5636189523361;31/12/2012 00:00;2012;Fuite;Branchement;AV FANFONNE GUILLERME;34129;Branchement
3.91466296655353;43.5759012293115;19/12/2012 00:00;2012;Fuite;Branchement;IMP EDOUARD LALO;34129;Branchement
